N/A,167894875
18-9,10833523
10-11,7570050
23,7334965
21-22,5978115
21,5695464
27-41,5501523
27-28,4405378
17,4387648
10-29,3849591
14-9,3609083
21-32,3417777
11,3264040
21-55,3190791
14-12-13,2980295
22,2906023
32,2905087
21-38,2552651
42-9,2461217
41,2192495
57,2059002
82-83,2031425
14-40,1854582
42-13,1730621
30-80,1662910
10-50,1607998
30-31,1599801
55,1584627
16,1576649
30-37,1495829
54,1476901
29,1448155
56,1446102
5-9,1438051
28,1363049
14-13,1313492
88-89,1305469
75,1290674
33-9,1275042
64,1253130
50,1212071
78,1206965
27-91,1125082
38,1021941
51,1021010
92,883513
36-9,831601
5-13,726580
42-26,698017
88-95,671654
61,669694
18-20-9,667544
14-12-40,666089
114,625565
33-13,618601
85,612623
14-84-9,606587
34,597095
82-109,590195
33-12-13,579818
96-26,572995
79,570825
36-13,554010
90-9,553354
14-26,548648
144,524039
96-9,511425
9,510444
91,510003
5-12-13,475860
88-145,471401
117,470648
17-45-46,467463
30-138,466675
18-19-9,461430
168,436675
30-100,432649
87,431468
39,430907
18-66-9,430000
104-105,429077
153-26,411028
130,403063
82-106,394469
73,388977
14-72-9,388190
74-9,375450
36-12-13,372866
95,370818
5-26,369228
36-20-9,364540
140,362224
37,359490
10-130,338026
175,332592
42-84-9,324888
146,322829
47-9,322407
23-45-46,318722
14-35-26,312340
14-12-68,298433
14-20-9,297686
18-35-9,297340
83,294605
89,279536
137-83,276613
5-12-40,276610
33-26,276255
14-71-9,266014
65-9,265305
103-9,265266
118,263354
14-12-9,259225
90-26,254819
103-13,242807
52-9,242604
18-48-9,239552
80,238896
176,236885
134,236586
18-9-58,236384
42-68,232908
163,231922
42-35-26,226910
52-26,226944
36-35-26,224441
90-13,223058
42-71-9,219627
60-13,218249
42-20-13,217181
167,216533
60-40-59,215486
82-126,214705
42-19-13,212755
33-35-26,212587
129-9,208922
14-12-20-13,203617
47-13,203332
136,200022
5-40,198693
36-26,198414
93,197750
14-19-13,197274
23-101-102,194366
75-45-46,193698
14-12-19-13,193049
14-49-9,190963
33-20-9,187107
42-20-9,184614
5-35-26,184041
36-84-9,183687
18-15-9,181035
115,179885
33-84-9,177891
42-49-9,177373
88-152,177096
106,176344
18-72-9,172332
14-7-9,171953
36-20-13,170676
74-35-26,169363
47-12-13,168369
5-12-9,165953
90-12-13,165845
109,165679
14-20-13,164712
86-18-9,162991
5-35-20-13,161052
33-49-9,160548
14-12-35-20-13,160552
42-12-13,159273
137-89,159264
69-26,157653
14-72-13,157144
42-19-9,155147
14-6-40,151911
42-35-20-13,151035
42-66-9,150943
47-20-9,149876
153-9,147535
42-12-9,147429
189,145979
165-106,143520
74-13,142757
47-26,142773
132,141243
18-6-9,140111
31,136385
36-12-9,136212
33-12-40,133017
75-101-102,130583
14-19-9,129311
33-8-9,128722
65-13,128026
74-12-13,127330
5-84-9,127446
96-24-13,126070
27-123,125972
42-66-13,125870
42-6-9,125398
169-75,124588
14-6-9,123103
18-8-9,123000
14-12-43-13,121868
96-13,121179
21-185,118627
96-7-9,117609
5-49-9,117229
5-20-9,116430
42-7-9,116095
36-49-9,115956
60-9,112597
169-183,111639
5-48-26,111356
5-35-9,111006
54-45-46,110867
18-9-59,110384
224,110252
137-37,109458
96-20-9,109130
129-26,108894
18-19-20-9,108711
162,106569
103-12-13,106533
81,105832
14-72-26,105748
14-62-13,105655
14-48-9,105317
96-48-9,104174
14-72-35-26,104014
96-24-9,103185
170,101038
33-35-20-13,100312
199,99765
131-56,99366
5-71-9,98683
5-19-13,97797
52-13,97704
52-12-13,96299
165-37,95950
36-71-9,94938
18-49-9,94027
17-101-102,93538
96-48-26,92661
57-45-46,92407
14-12-15-13,92242
18-155-9,92207
5-12-68,92184
14-35-20-13,89450
103-26,89335
65-12-13,88758
33-12-9,88551
14-43-35-26,86535
131-23,86501
36-12-35-20-13,86534
67-31,85979
36-35-20-13,85979
23-98-99,85910
90-71-9,85472
36-19-13,85292
16-101-102,84606
33-12-68,84357
42-48-9,84206
96-35-26,83850
18-66-19-9,82163
14-35-20-26,82053
14-8-9,81310
33-19-13,80101
33-35-9,79813
202,79592
10-162,79266
5-48-9,78990
17-113-46,78846
42-15-9,78636
96-40,78391
36-7-9,77899
19-9,77641
17-178-46,76633
42-15-13,75518
5-110-9,75454
5-43-35-26,75195
47-35-26,75047
90-40,74630
74-12-40,74050
111-42-12-13,73773
156-17,73391
100,73369
137-138,73337
90-12-9,73090
180,72844
90-7-9,72076
197,71747
54-101-102,71622
93-94,71229
42-43-35-26,70811
14-6-13,69101
18-116-9,68049
53,67637
107,67550
51-45-46,67106
195,66954
56-101-102,66761
33-12-35-20-13,66779
211,66706
23-113-46,65502
33-7-9,65487
5-35-20-26,65395
14-15-9,65317
47-35-20-13,65012
231,64772
